description,mse,r2,explained_variance_score_,mean_absolute_error_,mean_poisson_deviance_,mean_gamma_deviance_
scaler:  - dim red: pca - regressor: regresion lineal - influencia: ,-13.817943791434288,0.09043697935595515,0.09045298510210353,2.8025140662967343,2.69307339281046,0.7107914045049493
scaler:  - dim red: pca - regressor: regresion robusta - influencia: ,-24.21039386002887,,0.005225806601951821,3.1642256471526533,7.9854724220903135,3.6842610041694512
scaler:  - dim red: pca - regressor: regresion stacking - influencia: ,-13.481057733056272,,0.15470851282221287,2.4754871232057716,2.443525239762475,0.6425787816163063
scaler:  - dim red: pca - regressor: regresion lineal - influencia: Con Influencias,-13.50170255356702,0.09150285751365161,0.0915319465350598,2.78346907155657,2.656969484505612,0.7056507513377694
scaler:  - dim red: pca - regressor: regresion robusta - influencia: Con Influencias,-24.297849237435308,,0.018536268069338502,2.9788586972097417,6.502068395807249,2.5378025496043666
scaler:  - dim red: pca - regressor: regresion stacking - influencia: Con Influencias,-11.34749397510554,,0.14072086909573578,2.4791627208306535,2.3792311933924135,0.6555226002057023
scaler:  - dim red: ica - regressor: regresion lineal - influencia: ,-13.817943791434285,0.09043697935595521,0.09045298510210387,2.802514066296734,2.69307339281046,0.7107914045049493
scaler:  - dim red: ica - regressor: regresion robusta - influencia: ,-24.342054214237,,0.0011158529836261533,3.1036868371578454,7.522140126724877,3.273934176570453
scaler:  - dim red: ica - regressor: regresion stacking - influencia: ,-13.552901753649355,,0.1430388061463228,2.5351050605248493,2.4816566979522103,0.6513628498647503
scaler:  - dim red: ica - regressor: regresion lineal - influencia: Con Influencias,-13.50170255356702,0.09150285751365164,0.0915319465350598,2.783469071556571,2.656969484505613,0.7056507513377696
scaler:  - dim red: ica - regressor: regresion robusta - influencia: Con Influencias,-23.116795666920247,,0.0011337697261214474,3.088473507064412,7.446981728316003,3.2511300015815485
scaler:  - dim red: ica - regressor: regresion stacking - influencia: Con Influencias,-11.98710746103458,,0.11097880441629282,2.5268028482476628,2.502717524829866,0.6943451787055287
scaler: robust - dim red: pca - regressor: regresion lineal - influencia: ,-11.468791752706554,0.39428606024745705,0.3943351201660783,2.765959111502814,2.395880775756431,0.6750930932390197
scaler: robust - dim red: pca - regressor: regresion robusta - influencia: ,-23.144428645333598,,0.322708605009871,2.8391943820931833,5.320432927458411,2.151891810149116
scaler: robust - dim red: pca - regressor: regresion stacking - influencia: ,-4.988795290816987,,0.8124943934558859,1.0289522280276542,0.4891658399638659,0.1493379316066326
scaler: robust - dim red: pca - regressor: regresion lineal - influencia: Con Influencias,-11.703239208893457,0.37447679131268924,0.3745023497318628,2.790125902396118,2.4218459349154196,0.6787633771911015
scaler: robust - dim red: pca - regressor: regresion robusta - influencia: Con Influencias,-23.775205148459264,,0.1316154048978575,3.4263867452434646,8.123414525017168,3.611289995079013
scaler: robust - dim red: pca - regressor: regresion stacking - influencia: Con Influencias,-4.617932642461272,,0.8205214982979514,1.0042420103407956,0.504428011768777,0.1507938789529721
scaler: robust - dim red: ica - regressor: regresion lineal - influencia: ,-11.46879175270654,0.39428606024745766,0.39433512016607886,2.7659591115028133,2.39588077575643,0.6750930932390198
scaler: robust - dim red: ica - regressor: regresion robusta - influencia: ,-24.45548148193866,,0.10114306263745043,2.9858446868384028,5.496881852152094,2.256868025090563
scaler: robust - dim red: ica - regressor: regresion stacking - influencia: ,-3.8346470979071094,,0.8429197071101386,0.9896035302204831,0.45366975918251734,0.1581889570599807
scaler: robust - dim red: ica - regressor: regresion lineal - influencia: Con Influencias,-11.703239208893429,0.3744767913126906,0.3745023497318639,2.7901259023961154,2.421845934915415,0.6787633771911009
scaler: robust - dim red: ica - regressor: regresion robusta - influencia: Con Influencias,-26.266736625997822,,0.2888736410081516,2.9047109269077507,5.554977985138892,2.300924168162959
scaler: robust - dim red: ica - regressor: regresion stacking - influencia: Con Influencias,-3.970840808945634,,0.7814467063765089,1.05912002264507,0.664890991205388,0.2057013041579375
scaler: StandardScaler - dim red: pca - regressor: regresion lineal - influencia: ,-2.072250495014766,0.8915742291559056,0.8915800788821897,1.0527813768810306,,
scaler: StandardScaler - dim red: pca - regressor: regresion robusta - influencia: ,-5.698636072666181,,0.6370330708011362,1.645015984291748,,
scaler: StandardScaler - dim red: pca - regressor: regresion stacking - influencia: ,-2.004806731963472,,0.9175931753543531,0.7183126106866525,0.23768090754372986,0.08878930746908634
scaler: StandardScaler - dim red: pca - regressor: regresion lineal - influencia: Con Influencias,-2.0437239183478257,0.89153118967523,0.89153917843159,1.0456331409324424,,
scaler: StandardScaler - dim red: pca - regressor: regresion robusta - influencia: Con Influencias,-9.437056249122008,,0.7513901614932366,1.3816111395314965,,
scaler: StandardScaler - dim red: pca - regressor: regresion stacking - influencia: Con Influencias,-1.5229342854620065,,0.9483293433481503,0.6916978775413068,0.19189004351939087,0.0722976789067966
scaler: StandardScaler - dim red: ica - regressor: regresion lineal - influencia: ,-1.6401500798802675,0.9141837089586893,0.9141894046069772,0.8635097909090482,,
scaler: StandardScaler - dim red: ica - regressor: regresion robusta - influencia: ,-103.10535778870258,,-4.220041103420783,1.8748284333055005,1.9626166123162818,0.05298960562058768
scaler: StandardScaler - dim red: ica - regressor: regresion stacking - influencia: ,-1.866856224786805,,0.9472561644796964,0.5388594234804241,0.12410283752169227,0.04471370355851964
scaler: StandardScaler - dim red: ica - regressor: regresion lineal - influencia: Con Influencias,-1.6207783040052834,0.9139782142759507,0.9139841387651138,0.8611733074941461,,
scaler: StandardScaler - dim red: ica - regressor: regresion robusta - influencia: Con Influencias,-104.91982758793372,,-4.0923060568961835,1.8315713067644355,1.9197835142833646,0.05350138904208496
scaler: StandardScaler - dim red: ica - regressor: regresion stacking - influencia: Con Influencias,-2.0422737453388655,,0.9626405754057064,0.5183956192056189,0.10908075623299843,0.042308300086641035
scaler: mixMax - dim red: pca - regressor: regresion lineal - influencia: ,-8.959709234625047,0.5308724621866455,0.5308761125327753,1.9412403336501984,1.427184446427518,0.40817707434241507
scaler: mixMax - dim red: pca - regressor: regresion robusta - influencia: ,-13.292149729816083,,0.42281111507574887,1.93308240818252,2.4884545923246195,0.6965403868259591
scaler: mixMax - dim red: pca - regressor: regresion stacking - influencia: ,-6.755630956855782,,0.6422871237656,1.4701522423918236,0.8768133048471412,0.2434327214030688
scaler: mixMax - dim red: pca - regressor: regresion lineal - influencia: Con Influencias,-8.777183692577744,0.5321311187908382,0.5321352857766657,1.9287791385016364,1.4165798434454313,0.40582280539932414
scaler: mixMax - dim red: pca - regressor: regresion robusta - influencia: Con Influencias,-13.194880840741664,,0.45176045047209346,1.8106269294906245,2.2047651444585594,0.5981651617210998
scaler: mixMax - dim red: pca - regressor: regresion stacking - influencia: Con Influencias,-7.714557537594525,,0.763201612694981,1.3762190263110776,0.7401734910909269,0.2300831811516711
scaler: mixMax - dim red: ica - regressor: regresion lineal - influencia: ,-2.7153649174633347,0.8578170459506141,0.8578265273774154,1.2010762955216832,,
scaler: mixMax - dim red: ica - regressor: regresion robusta - influencia: ,-140272.21075895865,,-6047.294216112482,170.15931807378232,,
scaler: mixMax - dim red: ica - regressor: regresion stacking - influencia: ,-3.8852314761420255,,0.8682099260879736,0.9011582349152483,0.3948113647707715,0.12893200209806116
scaler: mixMax - dim red: ica - regressor: regresion lineal - influencia: Con Influencias,-2.8002762608952296,0.8507282318071526,0.8507315528892727,1.2235496353170323,,
scaler: mixMax - dim red: ica - regressor: regresion robusta - influencia: Con Influencias,-155690.89044222524,,-6510.46927584208,174.65433554114648,,
scaler: mixMax - dim red: ica - regressor: regresion stacking - influencia: Con Influencias,-2.7995516687325344,,0.8901075336051556,0.9021354163224213,0.3899388322568926,0.14009038424440953
