description,mse,r2,explained_variance_score_,mean_absolute_error_,mean_poisson_deviance_,mean_gamma_deviance_
scaler:  - dim red: pca - regressor: regresion lineal - influencia: ,-5.863713239611821,0.6914841013206888,0.6915012690346971,1.6490563652149965,1.0927762995256805,0.3350650310076639
scaler:  - dim red: pca - regressor: regresion robusta - influencia: ,-23301083.398906395,,-0.007230328136576203,2.3172665969878423,,
scaler:  - dim red: pca - regressor: regresion stacking - influencia: ,-4.350484354661042,,0.7437468255186341,1.311911380413307,0.7814694000530753,0.26940527438834916
scaler:  - dim red: pca - regressor: regresion lineal - influencia: Con Influencias,-6.057719802876943,0.675083589039447,0.6750891752591512,1.6738522896859827,1.1186234126790533,0.338938008126832
scaler:  - dim red: pca - regressor: regresion robusta - influencia: Con Influencias,-44283690.809700616,,-0.0034409982899177294,2.1915513825436954,,
scaler:  - dim red: pca - regressor: regresion stacking - influencia: Con Influencias,-5.230309675531315,,0.7624936111690809,1.5249823547510168,0.9541095562449251,0.31658455935356067
scaler:  - dim red: ica - regressor: regresion lineal - influencia: ,-5.863713239614504,0.6914841013205477,0.6915012690345562,1.6490563652153651,1.0927762995259718,0.3350650310077093
scaler:  - dim red: ica - regressor: regresion robusta - influencia: ,-47541222.15872976,,-2154598.254226469,4567.617574187966,,
scaler:  - dim red: ica - regressor: regresion stacking - influencia: ,-4.452198143144067,,0.7377325721666992,1.318213403047125,0.7881946952599562,0.27007463279737176
scaler:  - dim red: ica - regressor: regresion lineal - influencia: Con Influencias,-6.057719802877349,0.6750835890394252,0.6750891752591295,1.6738522896860342,1.118623412679103,0.3389380081268414
scaler:  - dim red: ica - regressor: regresion robusta - influencia: Con Influencias,-21518027.549464356,,-2163737.81265267,4522.89758043681,,
scaler:  - dim red: ica - regressor: regresion stacking - influencia: Con Influencias,-5.129499296281602,,0.7540371784000844,1.5553121535889898,0.9748047458782059,0.32137137312254715
scaler: robust - dim red: pca - regressor: regresion lineal - influencia: ,-11.141356603336442,0.41105088827157543,0.4110841234027611,2.7390015989877394,2.3792536933009027,0.6671992755676206
scaler: robust - dim red: pca - regressor: regresion robusta - influencia: ,-184923.23025140294,,0.14119018950326512,3.364433748162562,7.370024430968239,2.9460688224333094
scaler: robust - dim red: pca - regressor: regresion stacking - influencia: ,-4.002457160949059,,0.8789234221890779,0.9615084737990455,0.40627442012423715,0.13050417693099883
scaler: robust - dim red: pca - regressor: regresion lineal - influencia: Con Influencias,-11.070889868524059,0.40059187379550093,0.40064888267365006,2.734282950992408,2.376448857999017,0.6680632670209018
scaler: robust - dim red: pca - regressor: regresion robusta - influencia: Con Influencias,-92738.0381032362,,0.126771924163536,3.469765216336468,8.257913385035287,3.6849486240626055
scaler: robust - dim red: pca - regressor: regresion stacking - influencia: Con Influencias,-2.6837234425350465,,0.8821638988349507,0.8953672848628305,0.41379408123307326,0.15749622439598635
scaler: robust - dim red: ica - regressor: regresion lineal - influencia: ,-0.7339264804170391,0.9612037946720268,0.9612065223220883,0.5841573371297064,0.1146408789095439,0.034937024452795576
scaler: robust - dim red: ica - regressor: regresion robusta - influencia: ,-375789.3423931863,,-19670.78967828448,108.66728546075305,210.01251402685716,0.46573594554035025
scaler: robust - dim red: ica - regressor: regresion stacking - influencia: ,-3.2801861791691365,,0.9158955922789177,0.5556519483436152,0.15115840128188796,0.028358708401793276
scaler: robust - dim red: ica - regressor: regresion lineal - influencia: Con Influencias,-0.7258170537320622,0.9607018699388961,0.9607051545755827,0.5818355759503114,0.1142488135379318,0.03492069777499245
scaler: robust - dim red: ica - regressor: regresion robusta - influencia: Con Influencias,-356330.74236947286,,-17676.011980229774,100.5503165296076,194.00276948214363,0.45219289527360734
scaler: robust - dim red: ica - regressor: regresion stacking - influencia: Con Influencias,-2.3339171952928,,0.9494077296683604,0.47569737775412774,0.11095383348105786,0.027196797818820114
scaler: StandardScaler - dim red: pca - regressor: regresion lineal - influencia: ,-2.403288507116492,0.8745328883038839,0.8745358478852605,1.1466960035029163,,
scaler: StandardScaler - dim red: pca - regressor: regresion robusta - influencia: ,-9610.440688555584,,-801.3587539714374,37.79692924829371,,
scaler: StandardScaler - dim red: pca - regressor: regresion stacking - influencia: ,-2.2834503575097664,,0.9087597369017756,0.898312767608469,0.3421806015902825,0.11767333939377081
scaler: StandardScaler - dim red: pca - regressor: regresion lineal - influencia: Con Influencias,-2.4098535045294582,0.8702858192935301,0.8702933343123811,1.1489415624127233,,
scaler: StandardScaler - dim red: pca - regressor: regresion robusta - influencia: Con Influencias,-145474.8765751791,,-0.011352340881108258,3.4572132894179597,,
scaler: StandardScaler - dim red: pca - regressor: regresion stacking - influencia: Con Influencias,-2.33065045771971,,0.8914013598214545,0.9684677000038241,0.40574846406367493,0.13817309808108763
scaler: StandardScaler - dim red: ica - regressor: regresion lineal - influencia: ,-1.7316318834690207,0.9095981819018192,0.9096014503729047,0.8806485632494103,0.28379278510091865,0.09277073535982273
scaler: StandardScaler - dim red: ica - regressor: regresion robusta - influencia: ,-94.72057713855891,,-3.744696301277684,1.8060341270662599,1.8520069614910892,0.05195426382832814
scaler: StandardScaler - dim red: ica - regressor: regresion stacking - influencia: ,-2.1703888657123733,,0.9604617028050721,0.48137533507176583,0.1048409648779762,0.033483797096406746
scaler: StandardScaler - dim red: ica - regressor: regresion lineal - influencia: Con Influencias,-1.7195697726684727,0.9074440399742324,0.9074467788352707,0.877006484623859,0.28351755273058044,0.09231786148395253
scaler: StandardScaler - dim red: ica - regressor: regresion robusta - influencia: Con Influencias,-93.01538308737585,,-4.094882673599914,1.8164248819472255,1.9039308782605588,0.054645777973046525
scaler: StandardScaler - dim red: ica - regressor: regresion stacking - influencia: Con Influencias,-1.7441843261362444,,0.9745098198958508,0.38342232271706267,0.07081910170494164,0.029772734089463702
scaler: mixMax - dim red: pca - regressor: regresion lineal - influencia: ,-4.7205979503648035,0.7528515445953332,0.7528641628709829,1.6249781221804498,,
scaler: mixMax - dim red: pca - regressor: regresion robusta - influencia: ,-14.195493982220729,,0.39930594170417255,1.9737175254735666,2.7495786832951206,0.8278096158813784
scaler: mixMax - dim red: pca - regressor: regresion stacking - influencia: ,-2.585091765245743,,0.9072829752521367,0.72242762421334,0.30686427670286415,0.10612557292198196
scaler: mixMax - dim red: pca - regressor: regresion lineal - influencia: Con Influencias,-4.797400691658873,0.7435372938415333,0.7435401748830053,1.637180851185515,,
scaler: mixMax - dim red: pca - regressor: regresion robusta - influencia: Con Influencias,-16.792768850188743,,0.42457572188372195,1.887040214336343,2.454983406934131,0.7019776961219326
scaler: mixMax - dim red: pca - regressor: regresion stacking - influencia: Con Influencias,-3.261466846639375,,0.8856999585931198,0.8161733090544695,0.3440141905706035,0.10319704641876383
scaler: mixMax - dim red: ica - regressor: regresion lineal - influencia: ,-2.7156288449221484,0.857817024844499,0.8578305755699275,1.1906325872572117,,
scaler: mixMax - dim red: ica - regressor: regresion robusta - influencia: ,-5940.117224866078,,-234.75011569720127,51.27433199061687,84.6763942066418,1.8775788831421953
scaler: mixMax - dim red: ica - regressor: regresion stacking - influencia: ,-2.990622772899126,,0.8816844712891982,0.9358473642862682,0.4026839568691858,0.12011525637796874
scaler: mixMax - dim red: ica - regressor: regresion lineal - influencia: Con Influencias,-2.782416345207226,0.8512500444892124,0.851262081058116,1.2117257599337579,,
scaler: mixMax - dim red: ica - regressor: regresion robusta - influencia: Con Influencias,-5764.155692035505,,-255.3579442563505,52.82644801602563,87.64525714787126,1.9071581178686723
scaler: mixMax - dim red: ica - regressor: regresion stacking - influencia: Con Influencias,-3.305037532062724,,0.8547942482239586,0.9817870157022885,0.42451097416581496,0.11354524545457959
